year,d_crd_daly_rate,fitted,residual
1991,-18.23174493235365,3.757292847759402,-21.98903778011305
1992,-17.46543494628213,3.1591229738456263,-20.624557920127756
1993,-17.86153650299184,-1.0395891673975939,-16.821947335594245
1994,-21.03705894299992,-6.657073197115835,-14.379985745884085
1995,-20.03902206756038,-13.988103660493039,-6.050918407067343
1996,-19.217960152687738,-18.703149332632847,-0.5148108200548904
1997,-16.549919086077807,-18.774002603995143,2.224083517917336
1998,-2.391319081108122,-12.513782690414644,10.122463609306521
1999,7.468850138204743,-11.868165243833289,19.337015382038032
2000,32.81432734755754,-14.895356952611337,47.709684300168874
2001,15.718581610697129,-18.2878887343046,34.00647034500173
2002,-0.41357803865867027,-24.60615955579334,24.19258151713467
2003,-2.3701035241242607,-31.167937509521437,28.797833985397176
2004,-17.107920671110605,-42.318159311850934,25.21023864074033
2005,-89.73307309932102,-56.913837839135795,-32.81923526018522
2006,-150.70617003087295,-72.5578149025693,-78.14835512830365
2007,-108.95783919290216,-87.66513601521154,-21.292703177690612
2008,-88.5379620947358,-87.6708787440109,-0.8670833507248972
2009,-86.79190861827783,-90.33955640423767,3.547647785959839
2010,-91.64463053219151,-98.63346727435498,6.988836742163471
2011,-93.5106857576302,-96.64847753549805,3.1377917778678466
2012,-90.94008355707615,-91.4128657530801,0.4727821960039478
2013,-75.44015958354521,-84.46636959479281,9.0262100112476
2014,-64.27824095142887,-75.95039284162561,11.672151890196744
2015,-53.18677210322858,-66.88493076882895,13.698158665600374
2016,-33.78635602776217,-57.08391209750084,23.297556069738675
2017,-34.311114933573435,-47.665562239412395,13.35444730583896
2018,-39.47299720698686,-36.23493096797438,-3.2380662390124826
2019,-38.00549879155619,-24.693513199898803,-13.31198559165739
2020,-72.27101749706401,-9.206708336602276,-63.06430916046173
2021,13.283521253174854,-1.717930269800604,15.001451522975458
2022,46.82591291745996,12.144731244850277,34.68118167260968
2023,-9.835850975957214,23.519740045119192,-33.35559102107641
